tau (fs),Oscillatory component,Cation Signal,Baseline
3480.23,-258.83,2533.00,2791.83
3500.24,-111.78,2680.00,2791.78
3520.28,102.29,2894.00,2791.71
3540.30,378.37,3170.00,2791.63
3560.33,407.47,3199.00,2791.53
3580.32,454.58,3246.00,2791.42
3600.22,284.71,3076.00,2791.29
3620.24,423.86,3215.00,2791.14
3640.26,315.03,3106.00,2790.97
3660.22,190.21,2981.00,2790.79
3680.29,18.42,2809.00,2790.58
3700.26,-0.37,2790.00,2790.37
3720.24,-174.14,2616.00,2790.14
3740.22,-186.89,2603.00,2789.89
3760.22,-434.63,2355.00,2789.63
3780.23,-441.35,2348.00,2789.35
3800.27,-336.06,2453.00,2789.06
3820.29,-138.76,2650.00,2788.76
3840.26,0.55,2789.00,2788.45
3860.20,382.88,3171.00,2788.12
3880.21,188.23,2976.00,2787.77
3900.24,436.59,3224.00,2787.41
3920.29,498.96,3286.00,2787.04
3940.29,303.34,3090.00,2786.66
3960.26,169.74,2956.00,2786.26
3980.26,-103.84,2682.00,2785.84
4000.24,-184.42,2601.00,2785.42
4020.21,-143.98,2641.00,2784.98
4040.23,-192.53,2592.00,2784.53
4060.27,-435.07,2349.00,2784.07
4080.32,-331.61,2452.00,2783.61
4100.29,-149.13,2634.00,2783.13
4120.28,-198.64,2584.00,2782.64
4140.29,-160.14,2622.00,2782.14
4160.23,184.36,2966.00,2781.64
4180.29,273.88,3055.00,2781.12
4200.26,414.41,3195.00,2780.59
4220.24,506.94,3287.00,2780.06
4240.31,232.49,3012.00,2779.51
4260.25,338.05,3117.00,2778.95
4280.25,102.61,2881.00,2778.39
4300.25,-20.82,2757.00,2777.82
4320.26,-261.23,2516.00,2777.23
4340.30,-296.65,2480.00,2776.65
4360.29,-347.05,2429.00,2776.05
4380.27,-283.46,2492.00,2775.46
4400.27,-219.85,2555.00,2774.85
4420.24,-59.25,2715.00,2774.25
4440.27,-41.63,2732.00,2773.63
4460.30,149.98,2923.00,2773.02
4480.29,165.60,2938.00,2772.40
4500.31,344.23,3116.00,2771.77
4520.25,281.86,3053.00,2771.14
4540.27,403.49,3174.00,2770.51
4560.25,321.13,3091.00,2769.87
4580.30,286.77,3056.00,2769.23
4600.35,106.41,2875.00,2768.59
4620.29,-130.95,2637.00,2767.95
4640.33,-335.31,2432.00,2767.31
4660.24,-297.67,2469.00,2766.67
4680.26,-481.03,2285.00,2766.03
4700.28,-433.40,2332.00,2765.40
4720.32,-334.76,2430.00,2764.76
4740.31,-178.14,2586.00,2764.14
4760.33,25.49,2789.00,2763.51
4780.27,229.10,2992.00,2762.90
4800.30,404.72,3167.00,2762.28
4820.23,327.33,3089.00,2761.67
4840.31,252.94,3014.00,2761.06
4860.31,143.54,2904.00,2760.46
4880.35,145.14,2905.00,2759.86
4900.33,-52.27,2707.00,2759.27
4920.27,-9.68,2749.00,2758.68
4940.30,-276.11,2482.00,2758.11
4960.26,-252.54,2505.00,2757.54
4980.24,-452.98,2304.00,2756.98
5000.31,-177.43,2579.00,2756.43
5020.35,-315.88,2440.00,2755.88
5040.32,-206.35,2549.00,2755.35
5060.28,-99.83,2655.00,2754.83
5080.27,77.68,2832.00,2754.32
5100.27,250.19,3004.00,2753.81
5120.34,211.68,2965.00,2753.32
5140.40,358.17,3111.00,2752.83
5160.40,264.65,3017.00,2752.35
5180.38,30.11,2782.00,2751.89
5200.30,-16.43,2735.00,2751.43
5220.31,-230.98,2520.00,2750.98
5240.31,-222.55,2528.00,2750.55
5260.35,-354.12,2396.00,2750.12
5280.40,-293.71,2456.00,2749.71
5300.37,-319.31,2430.00,2749.31
5320.37,-152.91,2596.00,2748.91
5340.34,-160.53,2588.00,2748.53
5360.31,119.84,2868.00,2748.16
5380.35,90.20,2838.00,2747.80
5400.37,137.55,2885.00,2747.45
5420.40,294.89,3042.00,2747.11
5440.34,267.22,3014.00,2746.78
5460.35,210.55,2957.00,2746.45
5480.25,185.86,2932.00,2746.14
5500.28,146.17,2892.00,2745.83
5520.32,-16.53,2729.00,2745.53
5540.39,-156.25,2589.00,2745.25
5560.36,-163.97,2581.00,2744.97
5580.33,-207.70,2537.00,2744.70
5600.32,-404.44,2340.00,2744.44
5620.31,-185.19,2559.00,2744.19
5640.31,-174.96,2569.00,2743.96
5660.39,-49.73,2694.00,2743.73
5680.45,40.49,2784.00,2743.51
5700.44,193.70,2937.00,2743.30
5720.38,229.91,2973.00,2743.09
5740.32,142.10,2885.00,2742.90
5760.32,173.29,2916.00,2742.71
5780.38,280.47,3023.00,2742.53
5800.34,187.64,2930.00,2742.36
5820.40,83.80,2826.00,2742.20
5840.44,-47.04,2695.00,2742.04
5860.31,-92.89,2649.00,2741.89
5880.32,-104.76,2637.00,2741.76
5900.33,-242.63,2499.00,2741.63
5920.35,-265.50,2476.00,2741.50
5940.42,-150.39,2591.00,2741.39
5960.37,-265.29,2476.00,2741.29
5980.36,8.81,2750.00,2741.19
6000.32,137.89,2879.00,2741.11
6020.26,117.97,2859.00,2741.03
6040.33,91.04,2832.00,2740.96
6060.34,289.10,3030.00,2740.90
6080.34,183.16,2924.00,2740.84
6100.34,120.21,2861.00,2740.79
6120.29,-115.75,2625.00,2740.75
6140.30,97.28,2838.00,2740.72
6160.31,-103.69,2637.00,2740.69
6180.36,-121.67,2619.00,2740.67
6200.36,-106.66,2634.00,2740.66
6220.37,-212.66,2528.00,2740.66
6240.36,-175.67,2565.00,2740.67
6260.33,-8.68,2732.00,2740.68
6280.29,30.30,2771.00,2740.70
6300.26,-14.73,2726.00,2740.73
6320.34,152.23,2893.00,2740.77
6340.36,62.19,2803.00,2740.81
6360.36,113.14,2854.00,2740.86
6380.30,186.08,2927.00,2740.92
6400.29,49.02,2790.00,2740.98
6420.31,-72.05,2669.00,2741.05
6440.30,-5.13,2736.00,2741.13
6460.38,-112.21,2629.00,2741.21
6480.41,-185.30,2556.00,2741.30
6500.41,-204.40,2537.00,2741.40
6520.33,-156.50,2585.00,2741.50
6540.32,-110.61,2631.00,2741.61
6560.32,-152.72,2589.00,2741.72
6580.33,-10.85,2731.00,2741.85
6600.34,-6.97,2735.00,2741.97
6620.42,-38.11,2704.00,2742.11
6640.35,142.76,2885.00,2742.24
6660.32,156.62,2899.00,2742.38
6680.30,31.47,2774.00,2742.53
6700.35,111.33,2854.00,2742.67
6720.36,43.17,2786.00,2742.83
6740.41,-48.98,2694.00,2742.98
6760.39,-130.13,2613.00,2743.13
6780.37,-125.29,2618.00,2743.29
6800.32,-91.45,2652.00,2743.45
6820.31,-208.61,2535.00,2743.61
6840.37,-182.78,2561.00,2743.78
6860.38,-57.94,2686.00,2743.94
6880.43,70.90,2815.00,2744.10
6900.43,125.73,2870.00,2744.27
6920.36,75.57,2820.00,2744.43
6940.32,242.41,2987.00,2744.59
6960.32,82.25,2827.00,2744.75
6980.37,95.10,2840.00,2744.90
7000.35,184.95,2930.00,2745.05
7020.42,45.80,2791.00,2745.20
7040.40,-17.35,2728.00,2745.35
7060.30,16.51,2762.00,2745.49
7080.30,-84.63,2661.00,2745.63
7100.31,-22.61,2723.15,2745.76
7120.34,-77.54,2668.35,2745.89
7140.38,-29.29,2716.72,2746.02
7160.37,-157.96,2588.18,2746.14
7180.33,-15.95,2730.30,2746.25
7200.31,-39.54,2706.82,2746.36
7220.32,80.83,2827.30,2746.47
7240.32,130.96,2877.52,2746.57
7260.39,199.54,2946.20,2746.66
7280.39,150.68,2897.43,2746.74
7300.43,129.05,2875.88,2746.82
7320.37,164.26,2911.15,2746.89
7340.34,45.44,2792.40,2746.96
7360.33,-2.94,2744.07,2747.01
7380.37,-54.31,2692.75,2747.06
7400.40,-77.31,2669.80,2747.11
7420.45,-169.39,2577.75,2747.14
7440.42,-178.57,2568.60,2747.17
7460.34,-117.04,2630.15,2747.19
7480.31,-96.86,2650.35,2747.21
7500.34,-23.71,2723.50,2747.21
7520.40,12.91,2760.12,2747.21
7540.45,89.05,2836.25,2747.20
7560.44,112.07,2859.25,2747.18
7580.38,64.99,2812.15,2747.16
7600.32,89.35,2836.47,2747.12
7620.31,121.15,2868.22,2747.08
7640.33,99.70,2846.72,2747.03
7660.38,9.16,2756.12,2746.96
7680.40,-68.12,2678.77,2746.89
7700.35,-205.99,2540.82,2746.81
7720.36,-225.92,2520.80,2746.72
7740.29,-113.07,2633.55,2746.62
7760.31,-136.21,2610.30,2746.51
7780.37,-74.79,2671.60,2746.39
7800.39,-55.56,2690.70,2746.26
7820.43,64.55,2810.68,2746.12
7840.41,286.60,3032.57,2745.97
7860.32,145.89,2891.70,2745.81
7880.31,117.19,2862.82,2745.63
7900.35,83.73,2829.18,2745.44
7920.35,132.70,2877.95,2745.25
7940.38,56.94,2801.97,2745.03
7960.44,62.12,2806.93,2744.81
7980.36,-5.95,2738.62,2744.57
8000.29,-62.07,2682.25,2744.32
8020.31,-92.34,2651.72,2744.06
8040.35,-185.19,2558.60,2743.79
8060.37,-189.68,2553.82,2743.50
8080.45,-122.08,2621.12,2743.21
8100.41,29.03,2771.93,2742.90
8120.33,21.60,2764.18,2742.57
8140.31,74.67,2816.90,2742.23
8160.29,141.12,2883.00,2741.88
8180.32,55.36,2796.88,2741.52
8200.37,80.74,2821.88,2741.14
8220.43,169.40,2910.15,2740.75
8240.31,48.34,2788.68,2740.34
8260.33,43.23,2783.15,2739.92
8280.31,60.47,2799.95,2739.48
8300.32,-22.71,2716.32,2739.03
8320.39,-106.47,2632.10,2738.57
8340.40,37.91,2776.00,2738.09
8360.44,-94.43,2643.18,2737.60
8380.36,-126.59,2610.50,2737.09
8400.35,10.68,2747.25,2736.57
8420.30,7.09,2743.12,2736.04
8440.36,88.26,2823.75,2735.49
8460.39,19.95,2754.88,2734.93
8480.43,143.52,2877.88,2734.35
8500.41,159.14,2892.90,2733.76
8520.36,109.70,2842.85,2733.15
8540.31,17.69,2750.22,2732.53
8560.32,-49.75,2682.15,2731.90
8580.37,-44.33,2686.93,2731.25
8600.40,-83.56,2647.02,2730.59
8620.43,-90.11,2639.80,2729.91
8640.40,-39.72,2689.50,2729.22
8660.30,-104.40,2624.12,2728.52
8680.30,-21.93,2705.88,2727.81
8700.33,0.10,2727.18,2727.08
8720.35,72.02,2798.35,2726.33
8740.40,91.87,2817.45,2725.58
8760.40,106.49,2831.30,2724.81
8780.32,89.48,2813.50,2724.02
8800.34,135.65,2858.88,2723.23
8820.33,83.43,2805.85,2722.42
8840.32,116.66,2838.25,2721.59
8860.42,48.19,2768.95,2720.76
8880.44,-58.66,2661.25,2719.91
8900.43,23.75,2742.80,2719.05
8920.39,-66.93,2651.25,2718.18
8940.31,-102.40,2614.90,2717.30
8960.35,-124.55,2591.85,2716.40
8980.36,-25.55,2689.95,2715.50
9000.40,-12.91,2701.68,2714.58
9020.45,54.00,2767.65,2713.65
9040.43,120.96,2833.68,2712.72
9060.33,159.68,2871.45,2711.77
9080.31,93.69,2804.50,2710.81
9100.34,78.73,2788.57,2709.85
9120.35,131.83,2840.70,2708.87
9140.40,21.21,2729.10,2707.89
9160.42,74.01,2780.90,2706.89
9180.38,1.26,2707.15,2705.89
9200.30,-68.68,2636.20,2704.88
9220.31,-107.37,2596.50,2703.87
9240.37,-49.29,2653.55,2702.84
9260.41,-179.27,2522.55,2701.82
9280.43,-80.91,2619.88,2700.78
9300.40,-10.07,2689.68,2699.75
9320.34,-60.33,2638.38,2698.70
9340.30,53.82,2751.47,2697.65
9360.32,58.40,2755.00,2696.60
9380.37,115.10,2810.65,2695.55
9400.42,76.62,2771.10,2694.48
9420.46,-22.57,2670.85,2693.42
9440.44,-0.65,2691.70,2692.35
9460.38,92.72,2784.00,2691.28
9480.36,75.04,2765.25,2690.21
9500.35,-36.86,2652.27,2689.14
9520.37,-145.41,2542.65,2688.06
9540.44,-30.54,2656.45,2686.99
9560.44,-26.46,2659.45,2685.91
9580.41,-74.06,2610.77,2684.83
9600.35,0.79,2684.55,2683.76
9620.35,-7.66,2675.02,2682.68
9640.35,41.24,2722.85,2681.61
9660.46,95.97,2776.50,2680.53
9680.46,85.42,2764.88,2679.46
9700.48,125.26,2803.65,2678.39
9720.42,35.36,2712.68,2677.32
9740.36,70.85,2747.10,2676.25
9760.33,16.46,2691.65,2675.19
9780.39,-14.81,2659.32,2674.13
9800.44,-39.88,2633.20,2673.08
9820.47,-128.18,2543.85,2672.03
9840.40,-64.96,2606.02,2670.98
9860.36,-57.84,2612.10,2669.94
9880.30,-107.29,2561.62,2668.91
9900.32,-90.86,2577.02,2667.89
9920.44,85.43,2752.30,2666.87
9940.45,116.24,2782.10,2665.86
9960.42,72.00,2736.85,2664.85
9980.40,59.29,2723.15,2663.86
10000.33,70.21,2733.07,2662.87
10020.33,53.31,2715.20,2661.89
10040.32,19.88,2680.80,2660.92
10060.42,26.01,2685.97,2659.96
10080.40,20.64,2679.65,2659.01
10100.40,-113.15,2544.93,2658.07
10120.37,-169.57,2487.57,2657.15
10140.33,-99.93,2556.30,2656.23
10160.33,-140.66,2514.68,2655.33
10180.35,-123.27,2531.18,2654.44
10200.42,-120.79,2532.77,2653.57
10220.46,-35.43,2617.27,2652.70
10240.41,-11.10,2640.75,2651.85
10260.33,10.16,2661.18,2651.02
10280.33,70.93,2721.12,2650.20
10300.36,29.94,2679.32,2649.39
10320.38,19.70,2668.30,2648.60
10340.41,-19.84,2627.97,2647.82
10360.42,42.87,2689.93,2647.05
10380.38,-20.13,2626.18,2646.30
10400.36,-52.94,2592.62,2645.57
10420.33,-30.55,2614.30,2644.85
10440.39,-42.44,2601.70,2644.14
10460.44,-55.48,2587.97,2643.46
10480.51,-85.08,2557.70,2642.78
10500.45,-107.43,2534.70,2642.13
10520.41,-51.98,2589.50,2641.48
