tau (fs),Oscillatory component,Cation Signal,Baseline
14480.20,55.42,2798.20,2742.78
14500.12,130.73,2874.40,2743.67
14520.12,31.45,2776.00,2744.55
14540.06,75.57,2821.00,2745.43
14560.10,44.09,2790.40,2746.31
14580.12,21.61,2768.80,2747.19
14600.17,9.93,2758.00,2748.07
14620.17,-17.34,2731.60,2748.94
14640.14,-62.02,2687.80,2749.82
14660.07,-38.89,2711.80,2750.69
14680.14,1.03,2752.60,2751.57
14700.07,-68.24,2684.20,2752.44
14720.12,-22.91,2730.40,2753.31
14740.13,-9.98,2744.20,2754.18
14760.14,26.34,2781.40,2755.06
14780.12,-11.13,2744.80,2755.93
14800.09,-34.80,2722.00,2756.80
14820.13,44.73,2802.40,2757.67
14840.09,-13.74,2744.80,2758.54
14860.13,-7.41,2752.00,2759.41
14880.18,16.92,2777.20,2760.28
14900.15,-10.35,2750.80,2761.15
14920.14,-22.62,2739.40,2762.02
14940.08,-17.48,2745.40,2762.88
14960.11,-49.55,2714.20,2763.75
